year,month,region,ID,BBx,BBy,BBw,BBh,Longitude,Latitude,Confidence,Type,Count,Valid,Missed
2025,JAN,EV,0,878,140,9,13,-117.148865,32.716625,0.7330383062362671,Individual,1,1,0
2025,JAN,EV,1,910,147,7,14,-117.148476,32.71655,0.1161760687828064,Individual,1,1,0
2025,JAN,EV,2,927,156,26,30,-117.14814,32.716373,0.8564789891242981,Tent,12,1,0
2025,JAN,EV,3,861,161,32,31,-117.148926,32.71632,0.8450620174407959,Tent,12,1,0
2025,JAN,EV,4,840,205,14,15,-117.1493,32.71595,0.7767658233642578,Individual,2,1,0
2025,JAN,EV,5,809,249,8,17,-117.14972,32.71549,0.7694619297981262,Individual,1,1,0
2025,JAN,EV,6,518,305,16,18,-117.15333,32.71491,0.7989294528961182,Individual,3,1,0
2025,JAN,EV,7,371,343,23,22,-117.15515,32.714497,0.8629196882247925,Tent,1,1,0
2025,JAN,EV,8,439,344,9,16,-117.15437,32.714516,0.7231365442276001,Individual,1,1,0
2025,JAN,EV,9,590,344,10,15,-117.15245,32.714523,0.7639803886413574,Individual,1,1,0
2025,JAN,EV,10,299,345,7,12,-117.15617,32.714527,0.7708244919776917,Individual,1,1,0
2025,JAN,EV,11,218,347,10,15,-117.15719,32.71449,0.787132203578949,Individual,2,1,0
2025,JAN,EV,12,186,348,7,13,-117.15762,32.71449,0.5052528381347656,Individual,1,1,0
2025,JAN,EV,13,888,352,9,18,-117.14871,32.714428,0.32448410987854004,Individual,1,1,0
2025,JAN,EV,14,934,359,18,26,-117.14809,32.714317,0.7488539218902588,Tent,4,1,0
2025,JAN,EV,15,175,369,24,26,-117.15765,32.714203,0.8117474317550659,Tent,1,1,0
2025,JAN,EV,16,215,370,21,26,-117.15716,32.71419,0.8052935600280762,Tent,3,1,0
2025,JAN,EV,17,255,371,10,19,-117.156715,32.71422,0.7781251668930054,Individual,3,1,0
2025,JAN,EV,18,143,374,12,20,-117.15814,32.71418,0.8078288435935974,Individual,7,1,0
2025,JAN,EV,19,287,375,9,17,-117.15631,32.714188,0.07394570112228394,Individual,1,1,0
2025,JAN,EV,20,326,388,11,21,-117.15579,32.714035,0.3065605163574219,Individual,4,1,0
2025,JAN,EV,21,851,397,28,28,-117.149055,32.713917,0.4234519600868225,Vehicle,1,1,0
2025,JAN,EV,22,851,397,29,28,-117.14905,32.713917,0.22384363412857056,Tent,1,1,0
2025,JAN,EV,23,774,407,17,17,-117.150085,32.713867,0.8377670049667358,Individual,2,1,0
2025,JAN,EV,24,438,410,10,16,-117.15437,32.713833,0.7419826984405518,Individual,1,1,0
2025,JAN,EV,25,169,412,8,12,-117.15783,32.71383,0.7540051341056824,Individual,1,1,0
2025,JAN,EV,26,377,413,13,18,-117.15513,32.71379,0.10896474123001099,Individual,1,1,0
2025,JAN,EV,27,795,448,8,12,-117.14987,32.71347,0.7368140816688538,Individual,1,1,0
2025,JAN,EV,28,258,454,8,16,-117.15668,32.71337,0.7511155009269714,Individual,1,1,0
2025,JAN,EV,29,287,474,8,15,-117.1563,32.71317,0.5236018300056458,Individual,1,1,0
2025,JAN,EV,30,912,475,8,17,-117.14841,32.713173,0.789557158946991,Individual,1,1,0
2025,JAN,EV,31,502,476,9,17,-117.15356,32.713146,0.7905622124671936,Individual,1,1,0
2025,JAN,EV,32,792,476,24,27,-117.14981,32.713108,0.7797278165817261,Tent,10,1,0
2025,JAN,EV,33,217,477,8,15,-117.1572,32.71314,0.3600272536277771,Individual,1,1,0
2025,JAN,EV,34,111,478,8,15,-117.15857,32.713123,0.7547769546508789,Individual,1,1,0
2025,JAN,EV,35,246,491,18,23,-117.15676,32.71295,0.8527533411979675,Vehicle,1,1,0
2025,JAN,EV,36,854,499,22,25,-117.14904,32.712883,0.8617002367973328,Tent,1,1,0
2025,JAN,EV,37,309,510,9,15,-117.15601,32.7128,0.7441232204437256,Individual,1,1,0
2025,JAN,EV,38,90,514,14,13,-117.1588,32.712757,0.7940961718559265,Individual,2,1,0
2025,JAN,EV,39,795,545,9,16,-117.14986,32.712456,0.8047311902046204,Individual,1,1,0
2025,JAN,EV,40,247,549,15,17,-117.15677,32.71238,0.79826819896698,Individual,2,1,0
2025,JAN,EV,41,307,550,9,16,-117.15604,32.712376,0.7368589043617249,Individual,1,1,0
2025,JAN,EV,42,768,562,22,27,-117.150116,32.712223,0.8406773209571838,Tent,10,1,0
2025,JAN,EV,43,838,565,25,27,-117.149216,32.712196,0.8393939733505249,Tent,20,1,0
2025,JAN,EV,44,878,580,11,12,-117.1488,32.71212,0.839139461517334,Individual,2,1,0
2025,JAN,EV,45,914,581,12,15,-117.148346,32.712097,0.02334451675415039,Individual,1,1,0
2025,JAN,EV,46,800,593,19,22,-117.14973,32.711933,0.8810449838638306,Tent,1,1,0
2025,JAN,EV,47,776,612,11,16,-117.15008,32.711765,0.784247875213623,Individual,4,1,0
2025,JAN,EVS,0,683,177,14,15,-117.15135,32.711384,0.6614875793457031,Individual,2,1,0
2025,JAN,EVS,1,774,178,13,14,-117.15014,32.711395,0.8078169822692871,Individual,1,1,0
2025,JAN,EVS,2,794,178,31,31,-117.14975,32.71129,0.8512223958969116,Tent,5,1,0
2025,JAN,EVS,3,451,190,7,17,-117.15451,32.711163,0.17851269245147705,Individual,1,1,0
2025,JAN,EVS,4,180,194,11,19,-117.15811,32.711056,0.787477970123291,Individual,3,1,0
2025,JAN,EVS,5,219,197,9,17,-117.1576,32.711033,0.7353314161300659,Individual,1,1,0
2025,JAN,EVS,6,655,202,8,20,-117.151764,32.71102,0.7001453638076782,Individual,1,1,0
2025,JAN,EVS,7,518,204,15,20,-117.15356,32.710976,0.7777416706085205,Individual,5,1,0
2025,JAN,EVS,8,875,212,11,16,-117.148796,32.710957,0.7462638020515442,Individual,3,1,0
2025,JAN,EVS,9,934,213,11,16,-117.14801,32.710953,0.015078127384185791,Tent,10,1,0
2025,JAN,EVS,10,770,214,9,20,-117.150215,32.710888,0.7312408089637756,Individual,4,1,0
2025,JAN,EVS,11,811,224,7,16,-117.14968,32.71079,0.6169527173042297,Individual,1,1,0
2025,JAN,EVS,12,854,228,13,15,-117.14906,32.71075,0.7654962539672852,Individual,3,1,0
2025,JAN,EVS,13,128,257,11,12,-117.1588,32.710274,0.7918105721473694,Individual,2,1,0
2025,JAN,EVS,14,855,260,10,14,-117.14907,32.710342,0.09869122505187988,Individual,1,1,0
2025,JAN,EVS,15,142,273,21,24,-117.15854,32.70999,0.6147719025611877,Tent,2,1,0
2025,JAN,EVS,16,837,276,7,12,-117.14933,32.710144,0.5201414227485657,Individual,1,1,0
2025,JAN,EVS,17,655,277,10,18,-117.15175,32.710064,0.7498427033424377,Individual,2,1,0
2025,JAN,EVS,18,423,278,7,19,-117.15487,32.710003,0.504064679145813,Individual,1,1,0
2025,JAN,EVS,19,624,281,8,17,-117.152176,32.710014,0.11035865545272827,Individual,1,1,0
