year,month,region,ID,BBx,BBy,BBw,BBh,Longitude,Latitude,Confidence,Type,Count,Valid,Missed
2025,MAR,EV,0,929,163,40,35,-117.148026,32.716278,0.8783083558082581,Tent,-1,1,0
2025,MAR,EV,1,488,180,50,39,-117.1535,32.716095,0.8624172806739807,Individual,50,1,0
2025,MAR,EV,2,521,302,13,25,-117.153305,32.714905,0.7285133004188538,Individual,1,1,0
2025,MAR,EV,3,934,304,40,50,-117.14795,32.714756,0.8823079466819763,Tent,7,1,0
2025,MAR,EV,4,142,344,28,27,-117.15805,32.71446,0.8743056654930115,Individual,10,1,0
2025,MAR,EV,5,373,347,23,22,-117.15512,32.714455,0.8855857849121094,Tent,1,1,0
2025,MAR,EV,6,217,363,15,22,-117.157166,32.714287,0.8395488858222961,Individual,5,1,0
2025,MAR,EV,7,840,364,20,25,-117.14925,32.714268,0.8214117884635925,Individual,2,1,0
2025,MAR,EV,8,180,366,15,21,-117.157646,32.71426,0.827751874923706,Individual,2,1,0
2025,MAR,EV,9,135,374,29,32,-117.158134,32.71412,0.8775111436843872,Tent,3,1,0
2025,MAR,EV,10,938,386,30,38,-117.14796,32.713978,0.8696725964546204,Tent,5,1,0
2025,MAR,EV,11,216,389,17,22,-117.157166,32.714016,0.8538554310798645,Tent,1,1,0
2025,MAR,EV,12,609,391,13,25,-117.15218,32.713985,0.09238314628601074,Individual,1,1,0
2025,MAR,EV,13,166,398,27,27,-117.157745,32.713894,0.8736854791641235,Tent,4,1,0
2025,MAR,EV,14,711,407,17,21,-117.15087,32.713844,0.8376792669296265,Individual,3,1,0
2025,MAR,EV,15,937,428,20,12,-117.148026,32.71368,0.061691224575042725,Individual,1,1,0
2025,MAR,EV,16,234,434,29,28,-117.15685,32.713516,0.8872867822647095,Tent,2,1,0
2025,MAR,EV,17,216,438,13,25,-117.15719,32.71349,0.8141049146652222,Individual,4,1,0
2025,MAR,EV,18,165,445,29,26,-117.15774,32.713413,0.8762480020523071,Tent,2,1,0
2025,MAR,EV,19,146,449,9,14,-117.15811,32.713432,0.17088717222213745,Individual,1,1,0
2025,MAR,EV,20,503,452,10,20,-117.15354,32.71338,0.8309005498886108,Individual,1,1,0
2025,MAR,EV,21,842,454,16,25,-117.14924,32.713345,0.8363548517227173,Individual,3,1,0
2025,MAR,EV,22,730,457,15,23,-117.15064,32.71332,0.8337249159812927,Individual,3,1,0
2025,MAR,EV,23,432,466,11,21,-117.154434,32.713226,0.04265850782394409,Individual,1,1,0
2025,MAR,EV,24,772,467,8,22,-117.15016,32.713226,0.8174764513969421,Individual,1,1,0
2025,MAR,EV,25,899,467,26,24,-117.14846,32.71322,0.8497892618179321,Vehicle,2,1,0
2025,MAR,EV,26,70,474,10,22,-117.15909,32.713127,0.011766970157623291,Individual,1,1,0
2025,MAR,EV,27,248,474,17,20,-117.156746,32.713142,0.8042959570884705,Individual,2,1,0
2025,MAR,EV,28,217,478,9,18,-117.157196,32.71311,0.5638421773910522,Individual,1,1,0
2025,MAR,EV,29,806,492,10,24,-117.14972,32.71296,0.793822169303894,Individual,1,1,0
2025,MAR,EV,30,607,493,18,28,-117.15217,32.71292,0.8456118106842041,Individual,2,1,0
2025,MAR,EV,31,841,493,18,26,-117.14923,32.71294,0.7517803907394409,Tent,1,1,0
2025,MAR,EV,32,171,498,19,23,-117.15772,32.712875,0.8235802054405212,Individual,2,1,0
2025,MAR,EV,33,911,499,13,22,-117.14839,32.712902,0.7271612882614136,Tent,1,1,0
2025,MAR,EV,34,733,500,10,20,-117.150635,32.712894,0.7932800650596619,Individual,1,1,0
2025,MAR,EV,35,234,507,10,18,-117.15697,32.71281,0.7565492391586304,Individual,1,1,0
2025,MAR,EV,36,87,549,19,18,-117.1588,32.712364,0.8202446699142456,Individual,2,1,0
2025,MAR,EV,37,878,553,11,18,-117.1488,32.712368,0.7767982482910156,Individual,1,1,0
2025,MAR,EV,38,252,558,11,21,-117.15672,32.712265,0.24513256549835205,Individual,1,1,0
2025,MAR,EV,39,917,571,16,25,-117.148285,32.71215,0.7977451682090759,Individual,6,1,0
2025,MAR,EV,40,390,575,13,28,-117.154945,32.71206,0.7140461802482605,Individual,1,1,0
2025,MAR,EV,41,502,589,20,25,-117.15347,32.711937,0.8210753202438354,Individual,2,1,0
2025,MAR,EV,42,858,604,19,25,-117.149,32.711807,0.8649623990058899,Tent,1,1,0
2025,MAR,EV,43,229,607,11,18,-117.15701,32.71177,0.8049750328063965,Individual,1,1,0
2025,MAR,EV,44,840,612,13,19,-117.14926,32.711754,0.7752495408058167,Individual,3,1,0
2025,MAR,EVS,0,603,177,15,21,-117.15242,32.711334,0.7708736658096313,Individual,8,1,0
2025,MAR,EVS,1,129,178,9,17,-117.15881,32.711266,0.8203655481338501,Individual,1,1,0
2025,MAR,EVS,2,836,178,25,28,-117.14922,32.711315,0.8559831976890564,Tent,5,1,0
2025,MAR,EVS,3,197,179,10,16,-117.1579,32.711273,0.31645137071609497,Individual,1,1,0
2025,MAR,EVS,4,531,180,17,23,-117.153366,32.71127,0.8460792303085327,Individual,4,1,0
2025,MAR,EVS,5,280,183,10,19,-117.156784,32.711212,0.7054883241653442,Individual,1,1,0
2025,MAR,EVS,6,731,183,19,21,-117.15067,32.711277,0.841234028339386,Tent,1,1,0
2025,MAR,EVS,7,910,186,8,17,-117.148346,32.711292,0.7974238395690918,Individual,1,1,0
2025,MAR,EVS,8,795,189,24,25,-117.14978,32.711185,0.8492104411125183,Tent,1,1,0
2025,MAR,EVS,9,471,193,18,25,-117.15417,32.71108,0.8391832113265991,Individual,5,1,0
2025,MAR,EVS,10,769,194,19,25,-117.15016,32.711113,0.8415717482566833,Tent,1,1,0
2025,MAR,EVS,11,589,198,12,19,-117.152626,32.71107,0.8134760856628418,Individual,3,1,0
2025,MAR,EVS,12,622,201,13,18,-117.152176,32.711044,0.41356319189071655,Individual,2,1,0
2025,MAR,EVS,13,203,208,28,32,-117.157684,32.710793,0.8688153028488159,Tent,2,1,0
2025,MAR,EVS,14,179,211,13,21,-117.15811,32.71082,0.8191143870353699,Individual,1,1,0
2025,MAR,EVS,15,282,213,9,20,-117.15675,32.71082,0.811612069606781,Individual,1,1,0
2025,MAR,EVS,16,841,217,16,23,-117.149216,32.71084,0.8502693772315979,Individual,5,1,0
2025,MAR,EVS,17,931,218,15,23,-117.14802,32.710842,0.8267335295677185,Individual,2,1,0
2025,MAR,EVS,18,604,222,13,17,-117.15241,32.710773,0.7978061437606812,Individual,6,1,0
2025,MAR,EVS,19,735,222,14,18,-117.15065,32.71079,0.6064060926437378,Individual,7,1,0
2025,MAR,EVS,20,790,228,11,18,-117.14993,32.71072,0.04306161403656006,Individual,1,1,0
2025,MAR,EVS,21,395,260,11,19,-117.15522,32.71023,0.7800333499908447,Individual,1,1,0
2025,MAR,EVS,22,134,262,28,31,-117.1586,32.710087,0.8572254776954651,Tent,10,1,0
2025,MAR,EVS,23,177,267,16,22,-117.158104,32.710087,0.8574851155281067,Vehicle,1,1,0
2025,MAR,EVS,24,519,273,16,20,-117.15353,32.71008,0.798950731754303,Individual,2,1,0
2025,MAR,EVS,25,655,274,16,25,-117.1517,32.710056,0.845083475112915,Individual,3,1,0
2025,MAR,EVS,26,621,278,11,21,-117.15219,32.710026,0.6860874891281128,Individual,1,1,0
2025,MAR,EVS,27,912,278,14,25,-117.148285,32.71005,0.8300434947013855,Individual,4,1,0
2025,MAR,EVS,28,486,281,10,19,-117.15401,32.709976,0.7491153478622437,Individual,1,1,0
2025,MAR,EVS,29,771,281,15,23,-117.15016,32.71,0.811221182346344,Individual,2,1,0
2025,MAR,EVS,30,875,281,9,20,-117.14881,32.710033,0.7625352740287781,Individual,1,1,0
2025,MAR,EVS,31,146,301,11,17,-117.15855,32.709675,0.2001224160194397,Individual,1,1,0
2025,MAR,EVS,32,409,304,11,19,-117.15503,32.709667,0.812147855758667,Individual,1,1,0
2025,MAR,EVS,33,906,341,13,16,-117.14837,32.70929,0.8125172257423401,Individual,2,1,0
2025,MAR,EVS,34,775,342,8,20,-117.150154,32.70923,0.6270067095756531,Individual,1,1,0
