year,month,region,ID,BBx,BBy,BBw,BBh,Longitude,Latitude,Confidence,Type,Count,Valid,Missed
2025,APR,EV,0,580,142,7,15,-117.15262,32.716606,0.49266964197158813,Individual,1,1,0
2025,APR,EV,1,931,266,36,37,-117.14802,32.71521,0.8581393957138062,Tent,5,1,0
2025,APR,EV,2,501,269,14,22,-117.15356,32.715263,0.8228845596313477,Individual,1,1,0
2025,APR,EV,3,938,320,20,25,-117.148026,32.71472,0.8362207412719727,Individual,3,1,0
2025,APR,EV,4,159,346,11,15,-117.15794,32.7145,0.7318481802940369,Individual,2,1,0
2025,APR,EV,5,595,347,9,16,-117.15239,32.71449,0.7265827059745789,Individual,1,1,0
2025,APR,EV,6,107,361,15,24,-117.158585,32.714294,0.7979871034622192,Individual,2,1,0
2025,APR,EV,7,136,362,32,30,-117.158104,32.714256,0.8526813983917236,Tent,22,1,0
2025,APR,EV,8,180,364,12,14,-117.15766,32.714317,0.8119357824325562,Individual,5,1,0
2025,APR,EV,9,255,367,9,17,-117.15672,32.71427,0.5693233013153076,Individual,1,1,0
2025,APR,EV,10,216,371,12,23,-117.1572,32.7142,0.809989869594574,Individual,8,1,0
2025,APR,EV,11,172,384,22,20,-117.1577,32.714077,0.8443621397018433,Tent,1,1,0
2025,APR,EV,12,770,390,8,19,-117.15019,32.71403,0.801988422870636,Individual,1,1,0
2025,APR,EV,13,886,395,13,15,-117.14871,32.714005,0.7476997971534729,Individual,1,1,0
2025,APR,EV,14,645,400,10,21,-117.15175,32.713917,0.7557312250137329,Individual,1,1,0
2025,APR,EV,15,146,403,5,13,-117.15814,32.713917,0.6931509375572205,Individual,1,1,0
2025,APR,EV,16,301,407,14,15,-117.1561,32.713867,0.7242777943611145,Individual,1,1,0
2025,APR,EV,17,172,413,10,13,-117.157776,32.713814,0.04133927822113037,Individual,1,1,0
2025,APR,EV,18,785,447,18,18,-117.14993,32.71345,0.8474357724189758,Tent,1,1,0
2025,APR,EV,19,236,449,13,14,-117.15693,32.713436,0.7666539549827576,Individual,2,1,0
2025,APR,EV,20,309,450,10,17,-117.15601,32.71341,0.8050830364227295,Individual,1,1,0
2025,APR,EV,21,877,459,13,21,-117.14882,32.713314,0.7428717613220215,Individual,2,1,0
2025,APR,EV,22,503,472,8,18,-117.15355,32.713184,0.8079978823661804,Individual,1,1,0
2025,APR,EV,23,218,476,9,17,-117.15718,32.71314,0.7700668573379517,Individual,1,1,0
2025,APR,EV,24,145,478,7,16,-117.158134,32.71312,0.7310044169425964,Individual,1,1,0
2025,APR,EV,25,876,492,14,22,-117.14882,32.71297,0.7961033582687378,Vehicle,1,1,0
2025,APR,EV,26,376,505,12,20,-117.155136,32.712826,0.2801899313926697,Individual,1,1,0
2025,APR,EV,27,846,506,19,20,-117.14916,32.712837,0.8035088777542114,Tent,1,1,0
2025,APR,EV,28,849,549,25,19,-117.14908,32.712402,0.9251587986946106,Vehicle,1,1,0
2025,APR,EV,29,92,550,10,17,-117.15879,32.71236,0.7768145799636841,Individual,1,1,0
2025,APR,EV,30,532,566,19,23,-117.15311,32.71219,0.8534197807312012,Individual,2,1,0
2025,APR,EV,31,607,574,14,26,-117.15218,32.712093,0.6221867799758911,Individual,1,1,0
2025,APR,EV,32,503,581,8,18,-117.15354,32.71206,0.7976174354553223,Individual,1,1,0
2025,APR,EV,33,323,589,9,19,-117.15582,32.711956,0.8131096363067627,Individual,1,1,0
2025,APR,EV,34,376,609,13,17,-117.15512,32.711765,0.2676424980163574,Individual,1,1,0
2025,APR,EV,35,914,610,10,18,-117.14836,32.711784,0.28429144620895386,Individual,1,1,0
2025,APR,EV,36,854,611,18,22,-117.149055,32.71175,0.8478817343711853,Individual,7,1,0
2025,APR,EVS,0,764,176,29,28,-117.15016,32.711327,0.8630544543266296,Tent,1,1,0
2025,APR,EVS,1,801,179,8,16,-117.14981,32.711372,0.6959084868431091,Individual,1,1,0
2025,APR,EVS,2,901,179,35,43,-117.14829,32.711216,0.8587225079536438,Tent,77,1,0
2025,APR,EVS,3,337,180,9,14,-117.15602,32.711296,0.7872194647789001,Individual,1,1,0
2025,APR,EVS,4,835,183,25,27,-117.14924,32.711254,0.8594631552696228,Tent,3,1,0
2025,APR,EVS,5,176,187,18,20,-117.15812,32.71114,0.869560718536377,Tent,1,1,0
2025,APR,EVS,6,317,198,7,13,-117.1563,32.711063,0.7279558181762695,Individual,1,1,0
2025,APR,EVS,7,351,198,10,18,-117.15582,32.711037,0.2896955609321594,Individual,1,1,0
2025,APR,EVS,8,803,201,15,19,-117.149734,32.711067,0.84426349401474,Tent,1,1,0
2025,APR,EVS,9,217,202,10,20,-117.15762,32.71095,0.7604446411132812,Individual,1,1,0
2025,APR,EVS,10,656,203,8,18,-117.15175,32.71102,0.778715193271637,Individual,1,1,0
2025,APR,EVS,11,772,214,12,20,-117.15017,32.710888,0.7933424711227417,Individual,2,1,0
2025,APR,EVS,12,113,216,7,14,-117.159035,32.71079,0.6645253896713257,Individual,1,1,0
2025,APR,EVS,13,840,216,12,17,-117.14926,32.71089,0.5375717282295227,Individual,2,1,0
2025,APR,EVS,14,181,217,13,18,-117.15808,32.710762,0.8095681071281433,Individual,5,1,0
2025,APR,EVS,15,400,222,10,17,-117.15517,32.71074,0.7649049758911133,Individual,1,1,0
2025,APR,EVS,16,791,226,15,17,-117.149895,32.710754,0.8359290957450867,Individual,2,1,0
2025,APR,EVS,17,867,226,11,15,-117.1489,32.710777,0.3463786840438843,Individual,1,1,0
2025,APR,EVS,18,602,258,14,18,-117.15243,32.7103,0.7860137820243835,Individual,4,1,0
2025,APR,EVS,19,532,259,17,23,-117.15334,32.710243,0.8451226353645325,Individual,3,1,0
2025,APR,EVS,20,789,261,12,20,-117.14994,32.71028,0.09101301431655884,Individual,1,1,0
2025,APR,EVS,21,589,283,14,20,-117.1526,32.70996,0.8155434131622314,Individual,2,1,0
2025,APR,EVS,22,653,285,27,27,-117.15166,32.709904,0.8760968446731567,Vehicle,1,1,0
2025,APR,EVS,23,128,300,19,19,-117.15874,32.70967,0.8380105495452881,Individual,2,1,0
2025,APR,EVS,24,855,302,19,20,-117.14901,32.709763,0.8646852374076843,Tent,1,1,0
2025,APR,EVS,25,914,307,11,16,-117.14828,32.709732,0.3828126788139343,Individual,1,1,0
2025,APR,EVS,26,667,339,9,16,-117.15159,32.70928,0.7276113629341125,Individual,1,1,0
2025,APR,EVS,27,463,340,11,15,-117.1543,32.709236,0.8018782734870911,Individual,2,1,0
2025,APR,EVS,28,533,340,12,17,-117.15336,32.709236,0.412075400352478,Individual,1,1,0
2025,APR,EVS,29,793,340,18,20,-117.14984,32.70926,0.8793640732765198,Tent,1,1,0
2025,APR,EVS,30,845,342,11,14,-117.1492,32.709282,0.8158381581306458,Individual,3,1,0
