year,month,region,ID,BBx,BBy,BBw,BBh,Longitude,Latitude,Confidence,Type,Count,Valid,Missed
2025,FEB,EV,0,888,117,29,35,-117.14861,32.71675,0.865532636642456,Tent,4,1,0
2025,FEB,EV,1,920,123,20,14,-117.14827,32.716793,0.03280341625213623,Individual,1,1,0
2025,FEB,EV,2,648,169,14,20,-117.15171,32.7163,0.7888811826705933,Individual,2,1,0
2025,FEB,EV,3,841,327,19,16,-117.14924,32.714695,0.019803166389465332,Individual,1,1,0
2025,FEB,EV,4,447,347,14,17,-117.154236,32.71448,0.8391956686973572,Individual,2,1,0
2025,FEB,EV,5,386,348,19,22,-117.15498,32.714443,0.847708523273468,Tent,1,1,0
2025,FEB,EV,6,362,349,13,21,-117.15533,32.71444,0.8140969276428223,Individual,3,1,0
2025,FEB,EV,7,886,349,8,15,-117.14875,32.714474,0.7303118705749512,Individual,1,1,0
2025,FEB,EV,8,214,356,27,32,-117.15713,32.714306,0.851775050163269,Tent,4,1,0
2025,FEB,EV,9,934,356,17,21,-117.148094,32.71437,0.39827847480773926,Individual,7,1,0
2025,FEB,EV,10,137,363,30,34,-117.158104,32.714222,0.8556848764419556,Tent,4,1,0
2025,FEB,EV,11,503,363,12,20,-117.153534,32.714302,0.8102129101753235,Individual,3,1,0
2025,FEB,EV,12,288,379,13,20,-117.15627,32.71413,0.8083474636077881,Individual,2,1,0
2025,FEB,EV,13,176,385,25,31,-117.15763,32.714012,0.8160603046417236,Tent,11,1,0
2025,FEB,EV,14,217,395,14,18,-117.15717,32.713974,0.8208744525909424,Individual,6,1,0
2025,FEB,EV,15,735,396,9,21,-117.15063,32.71396,0.54334956407547,Individual,1,1,0
2025,FEB,EV,16,140,399,30,32,-117.15806,32.71386,0.8729761242866516,Individual,11,1,0
2025,FEB,EV,17,530,403,12,17,-117.15319,32.7139,0.18346792459487915,Individual,1,1,0
2025,FEB,EV,18,152,448,16,17,-117.15799,32.713425,0.8201038837432861,Individual,2,1,0
2025,FEB,EV,19,374,449,9,15,-117.15519,32.713432,0.8037188649177551,Individual,1,1,0
2025,FEB,EV,20,249,451,15,18,-117.156746,32.713394,0.8126494288444519,Individual,2,1,0
2025,FEB,EV,21,875,454,14,20,-117.148834,32.71337,0.7704583406448364,Individual,3,1,0
2025,FEB,EV,22,914,460,8,17,-117.148384,32.713326,0.7963314652442932,Individual,1,1,0
2025,FEB,EV,23,178,463,14,22,-117.15767,32.713245,0.8260455131530762,Individual,5,1,0
2025,FEB,EV,24,798,468,22,27,-117.14975,32.71319,0.8789718151092529,Tent,1,1,0
2025,FEB,EV,25,576,473,7,17,-117.15263,32.71318,0.22474908828735352,Individual,1,1,0
2025,FEB,EV,26,247,474,18,21,-117.15675,32.71314,0.8370790481567383,Tent,1,1,0
2025,FEB,EV,27,541,474,8,17,-117.15307,32.71317,0.7626218199729919,Individual,1,1,0
2025,FEB,EV,28,841,474,15,19,-117.149254,32.71317,0.8256564736366272,Individual,2,1,0
2025,FEB,EV,29,610,476,12,23,-117.15217,32.71312,0.1731553077697754,Individual,1,1,0
