year,month,region,ID,BBx,BBy,BBw,BBh,Longitude,Latitude,Confidence,Type,Count,Valid,Missed
2025,MAY,EV,0,534,171,17,26,-117.15313,32.71625,0.8295027017593384,Individual,2,1,0
2025,MAY,EV,1,726,173,17,27,-117.15071,32.71622,0.8429090976715088,Individual,3,1,0
2025,MAY,EV,2,770,195,15,20,-117.15017,32.71603,0.8413487672805786,Individual,2,1,0
2025,MAY,EV,3,690,247,12,20,-117.151184,32.715496,0.8017063736915588,Individual,1,1,0
2025,MAY,EV,4,649,265,9,19,-117.15172,32.715317,0.7543908953666687,Individual,1,1,0
2025,MAY,EV,5,726,292,18,25,-117.15069,32.715008,0.8494547605514526,Individual,3,1,0
2025,MAY,EV,6,835,343,25,31,-117.14928,32.714455,0.8424462676048279,Tent,1,1,0
2025,MAY,EV,7,837,343,23,32,-117.14926,32.714447,0.018419921398162842,Individual,1,1,0
2025,MAY,EV,8,163,346,10,16,-117.1579,32.714493,0.7294493913650513,Individual,1,1,0
2025,MAY,EV,9,308,347,9,17,-117.156044,32.71448,0.7953689098358154,Individual,1,1,0
2025,MAY,EV,10,255,351,10,22,-117.156715,32.714413,0.7966973185539246,Individual,1,1,0
2025,MAY,EV,11,639,353,30,32,-117.1517,32.714344,0.8469892144203186,Tent,2,1,0
2025,MAY,EV,12,142,359,13,26,-117.15815,32.714306,0.83560711145401,Individual,8,1,0
2025,MAY,EV,13,216,361,14,25,-117.15719,32.71429,0.835493266582489,Individual,4,1,0
2025,MAY,EV,14,184,365,11,19,-117.157616,32.714283,0.7153878808021545,Individual,3,1,0
2025,MAY,EV,15,433,367,10,18,-117.15444,32.714268,0.1456204056739807,Individual,1,1,0
2025,MAY,EV,16,576,367,15,21,-117.152596,32.714256,0.8309153914451599,Individual,2,1,0
2025,MAY,EV,17,106,370,12,24,-117.158615,32.714203,0.8006772398948669,Individual,1,1,0
2025,MAY,EV,18,386,372,23,27,-117.15495,32.71417,0.8698845505714417,Tent,1,1,0
2025,MAY,EV,19,318,378,17,26,-117.15586,32.71411,0.8282783627510071,Individual,2,1,0
2025,MAY,EV,20,938,384,31,41,-117.14795,32.71398,0.8656876683235168,Tent,22,1,0
2025,MAY,EV,21,172,385,29,33,-117.15765,32.714,0.8641414046287537,Tent,2,1,0
2025,MAY,EV,22,138,388,26,31,-117.15811,32.713978,0.8642429113388062,Tent,4,1,0
2025,MAY,EV,23,208,397,31,27,-117.15718,32.713905,0.8683285713195801,Tent,4,1,0
2025,MAY,EV,24,839,398,16,24,-117.14928,32.713924,0.8191594481468201,Individual,4,1,0
2025,MAY,EV,25,250,402,14,22,-117.156746,32.713882,0.75194251537323,Individual,4,1,0
2025,MAY,EV,26,234,446,19,21,-117.15691,32.71343,0.8154417276382446,Individual,2,1,0
2025,MAY,EV,27,446,448,9,15,-117.154274,32.713448,0.6934054493904114,Individual,1,1,0
2025,MAY,EV,28,530,448,18,27,-117.153145,32.713387,0.8507413268089294,Individual,4,1,0
2025,MAY,EV,29,308,449,10,19,-117.15603,32.71341,0.8097552061080933,Individual,1,1,0
2025,MAY,EV,30,376,449,10,18,-117.15516,32.713417,0.6806180477142334,Individual,1,1,0
2025,MAY,EV,31,727,449,18,17,-117.150665,32.713432,0.8435994386672974,Vehicle,1,1,0
2025,MAY,EV,32,146,460,12,22,-117.15809,32.713276,0.06969517469406128,Individual,1,1,0
2025,MAY,EV,33,800,462,16,22,-117.14976,32.713276,0.8249896764755249,Individual,5,1,0
2025,MAY,EV,34,287,471,14,22,-117.156265,32.713165,0.7993348240852356,Individual,3,1,0
2025,MAY,EV,35,799,489,18,20,-117.14976,32.71301,0.8446760773658752,Tent,1,1,0
2025,MAY,EV,36,663,502,19,23,-117.15146,32.712856,0.8195501565933228,Individual,2,1,0
2025,MAY,EV,37,371,503,17,24,-117.15517,32.712826,0.528039813041687,Individual,2,1,0
2025,MAY,EV,38,445,504,9,16,-117.15428,32.71286,0.7371785044670105,Individual,1,1,0
2025,MAY,EV,39,306,505,17,19,-117.156,32.71283,0.845446765422821,Individual,2,1,0
2025,MAY,EV,40,239,506,9,15,-117.15691,32.712837,0.7723703980445862,Individual,1,1,0
2025,MAY,EV,41,166,510,9,15,-117.15785,32.71279,0.6788583397865295,Individual,1,1,0
2025,MAY,EV,42,893,523,22,32,-117.14855,32.712605,0.3457525372505188,Vehicle,2,1,0
2025,MAY,EV,43,894,524,22,31,-117.148544,32.7126,0.6979650855064392,Tent,5,1,0
2025,MAY,EV,44,309,550,9,16,-117.156006,32.712376,0.7416946291923523,Individual,1,1,0
2025,MAY,EV,45,856,550,11,17,-117.14908,32.712402,0.7729490399360657,Individual,1,1,0
2025,MAY,EV,46,376,552,12,18,-117.155136,32.71235,0.25616252422332764,Individual,1,1,0
2025,MAY,EV,47,433,557,10,17,-117.15442,32.712307,0.5066345930099487,Individual,1,1,0
2025,MAY,EV,48,768,563,12,19,-117.15018,32.712254,0.8386419415473938,Individual,5,1,0
2025,MAY,EV,49,287,569,8,18,-117.156296,32.71217,0.4033735990524292,Individual,1,1,0
2025,MAY,EV,50,912,570,13,20,-117.14837,32.712185,0.8083802461624146,Individual,3,1,0
2025,MAY,EV,51,575,573,13,22,-117.152596,32.712124,0.8427586555480957,Individual,2,1,0
2025,MAY,EV,52,249,583,16,23,-117.15673,32.711994,0.8116192817687988,Individual,2,1,0
2025,MAY,EV,53,536,597,10,17,-117.15311,32.7119,0.6471340656280518,Individual,1,1,0
2025,MAY,EV,54,729,605,16,22,-117.150635,32.711803,0.8401495814323425,Individual,2,1,0
2025,MAY,EVS,0,845,174,26,27,-117.1491,32.711372,0.8698919415473938,Tent,7,1,0
2025,MAY,EVS,1,732,182,15,23,-117.15069,32.711277,0.8442642688751221,Individual,6,1,0
2025,MAY,EVS,2,907,192,13,19,-117.14835,32.7112,0.8447887897491455,Individual,5,1,0
2025,MAY,EVS,3,771,195,20,24,-117.15013,32.71111,0.8680830001831055,Tent,1,1,0
2025,MAY,EVS,4,622,199,10,18,-117.15219,32.71107,0.7786937355995178,Individual,3,1,0
2025,MAY,EVS,5,479,201,12,20,-117.1541,32.711006,0.45887863636016846,Individual,6,1,0
2025,MAY,EVS,6,180,202,11,19,-117.15811,32.71095,0.8370964527130127,Individual,5,1,0
2025,MAY,EVS,7,876,206,8,15,-117.1488,32.71104,0.4219599962234497,Individual,1,1,0
2025,MAY,EVS,8,838,211,12,20,-117.149284,32.710938,0.0572323203086853,Individual,2,1,0
2025,MAY,EVS,9,908,214,14,18,-117.14834,32.710922,0.8205124139785767,Tent,1,1,0
2025,MAY,EVS,10,724,215,20,24,-117.15076,32.710842,0.8665989637374878,Tent,1,1,0
2025,MAY,EVS,11,602,222,12,17,-117.15244,32.710773,0.8201858401298523,Individual,4,1,0
2025,MAY,EVS,12,790,224,15,20,-117.14991,32.71076,0.8417106866836548,Individual,2,1,0
2025,MAY,EVS,13,670,226,9,15,-117.15156,32.710747,0.7582395672798157,Individual,1,1,0
2025,MAY,EVS,14,858,227,8,14,-117.14905,32.71077,0.7507627010345459,Individual,1,1,0
2025,MAY,EVS,15,738,267,12,20,-117.15062,32.710194,0.02872788906097412,Individual,1,1,0
2025,MAY,EVS,16,620,269,9,18,-117.15222,32.71016,0.6864926218986511,Individual,1,1,0
2025,MAY,EVS,17,905,272,11,15,-117.1484,32.71019,0.7616614103317261,Individual,5,1,0
2025,MAY,EVS,18,322,276,8,16,-117.15622,32.710033,0.8037275671958923,Individual,1,1,0
2025,MAY,EVS,19,145,280,9,17,-117.15858,32.709946,0.7834498286247253,Individual,1,1,0
2025,MAY,EVS,20,337,304,7,15,-117.15601,32.70968,0.7765833735466003,Individual,1,1,0
2025,MAY,EVS,21,604,304,9,17,-117.152435,32.709713,0.7935359477996826,Individual,1,1,0
2025,MAY,EVS,22,911,304,13,19,-117.1483,32.70975,0.8060144782066345,Individual,4,1,0
2025,MAY,EVS,23,409,308,10,18,-117.15504,32.70962,0.7720377445220947,Individual,1,1,0
2025,MAY,EVS,24,859,309,9,13,-117.149025,32.709717,0.7658693194389343,Individual,1,1,0
2025,MAY,EVS,25,867,341,21,30,-117.148834,32.709194,0.8361679911613464,Tent,6,1,0
2025,MAY,EVS,26,474,343,31,33,-117.154015,32.709084,0.8723574876785278,Individual,27,1,0
2025,MAY,EVS,27,539,343,9,15,-117.1533,32.70921,0.8055340647697449,Individual,1,1,0
2025,MAY,EVS,28,731,344,8,15,-117.15074,32.70923,0.7795720100402832,Individual,1,1,0
2025,MAY,EVS,29,840,344,13,17,-117.149254,32.709236,0.41656994819641113,Individual,2,1,0
2025,MAY,EVS,30,803,349,13,18,-117.14974,32.709156,0.8138175010681152,Individual,4,1,0
2025,MAY,EVS,31,520,362,15,22,-117.15351,32.708916,0.8277011513710022,Individual,5,1,0
2025,MAY,EVS,32,897,365,12,21,-117.1485,32.708946,0.6425818800926208,Individual,4,1,0
2025,MAY,EVS,33,800,369,18,20,-117.14975,32.708885,0.888473629951477,Tent,1,1,0
2025,MAY,EVS,34,835,369,26,26,-117.14923,32.708855,0.863328754901886,Tent,5,1,0
2025,MAY,EVS,35,115,375,7,17,-117.15897,32.708714,0.2910178303718567,Individual,1,1,0
2025,MAY,EVS,36,726,376,18,21,-117.150734,32.70878,0.8607049584388733,Tent,1,1,0
2025,MAY,EVS,37,556,382,9,17,-117.15307,32.708694,0.2995870113372803,Individual,1,1,0
2025,MAY,EVS,38,462,385,24,32,-117.15422,32.708546,0.86692214012146,Tent,1,1,0
2025,MAY,EVS,39,875,389,11,14,-117.148796,32.70868,0.7928495407104492,Individual,3,1,0
2025,MAY,EVS,40,666,420,16,21,-117.15155,32.7082,0.815729022026062,Individual,3,1,0
2025,MAY,EVS,41,760,421,19,20,-117.150276,32.70821,0.8216620683670044,Individual,2,1,0
2025,MAY,EVS,42,543,422,17,20,-117.15318,32.70816,0.8350564241409302,Individual,2,1,0
2025,MAY,EVS,43,850,422,18,21,-117.14908,32.708206,0.7516962289810181,Individual,2,1,0
2025,MAY,EVS,44,839,455,15,24,-117.14925,32.70776,0.76485675573349,Individual,7,1,0
